Latitude,Longitude
50.88610426662863,-121.47972607141388
50.88604603937481,-121.47972804287045
50.885990544560954,-121.47972625650416
50.885921168144094,-121.47972101121127
50.88586992203951,-121.47971655049182
50.8858299944428,-121.47969230084689
50.88580152555802,-121.47968751733086
50.88576875587771,-121.4796791236038
50.88573380476368,-121.47967449594431
50.885676941214044,-121.47967176984487
50.8856292133508,-121.47966715753797
50.88556323824484,-121.47966152286736
50.88552550002364,-121.47964620369177
50.88548769300659,-121.47963471839019
50.88545896790011,-121.4796434757464
50.88541735735486,-121.47966272465733
50.88537698281831,-121.47967374385787
50.885352957112296,-121.47968076749737
50.88529706828492,-121.47968365645859
50.885259718481244,-121.47969309343218
50.88521994665306,-121.47970853805808
50.88518294569789,-121.47972768580692
50.88515570724075,-121.47976190714421
50.885136158204375,-121.47977922896459
50.88510147484866,-121.47980328086595
50.88505144606063,-121.47983877877421
50.88502098183875,-121.47985949257185
50.88499126614003,-121.47986923802831
50.88496280762907,-121.47988881875179
50.88493624543969,-121.47990128303394
50.88491205469611,-121.47991186868481
50.88490071229041,-121.47991638749409
50.88489025078155,-121.47992134366005
50.88488166559594,-121.47992442394208
50.884874213386844,-121.4799272390767
50.88486648693664,-121.4799312579192
50.88485386510138,-121.47993603248672
50.88482485413837,-121.47995191157204
50.884793259680855,-121.47996783784046
50.884783068794114,-121.47997237777186
50.884768854690165,-121.47997797212855
50.88475177980272,-121.47998382403446
50.884722629723534,-121.47999267726703
50.88468700542693,-121.48000828001528
50.88465678682086,-121.48002438625994
50.88463098594034,-121.48003845541584
50.88460619761893,-121.48004801695386
50.88457987556438,-121.48005933988787
50.88455508321955,-121.48007028123166
50.88452622472297,-121.48008438334539
50.884503833219426,-121.4800949810774
50.88449260945456,-121.48010136785598
50.88447560403948,-121.48011032894495
50.88444124704017,-121.4801219434231
